 Absidia glauca
 Saccharomyces cerevisiae_yjm1417
 Saccharomyces cerevisiae_yjm1418
 Saccharomyces cerevisiae_yjm1419
 Saccharomyces cerevisiae_yjm1433
 Saccharomyces cerevisiae_yjm1434
 Saccharomyces cerevisiae_yjm1439
 Saccharomyces cerevisiae_yjm1443
 Saccharomyces cerevisiae_yjm1444
 Saccharomyces cerevisiae_yjm1447
 Saccharomyces cerevisiae_yjm1450
 Saccharomyces cerevisiae_yjm1460
 Saccharomyces cerevisiae_yjm1463
 Saccharomyces cerevisiae_yjm1477
 Saccharomyces cerevisiae_yjm1478
 Saccharomyces cerevisiae_yjm1479
 Saccharomyces cerevisiae_yjm1526
 Saccharomyces cerevisiae_yjm1527
 Saccharomyces cerevisiae_yjm1549
 Saccharomyces cerevisiae_yjm1573
 Saccharomyces cerevisiae_yjm1574
 Saccharomyces cerevisiae_yjm1592
 Saccharomyces cerevisiae_yjm1615
 Saccharomyces cerevisiae_yjm189
 Saccharomyces cerevisiae_yjm193
 Saccharomyces cerevisiae_yjm195
 Saccharomyces cerevisiae_yjm244
 Saccharomyces cerevisiae_yjm248
 Saccharomyces cerevisiae_yjm270
 Saccharomyces cerevisiae_yjm271
 Saccharomyces cerevisiae_yjm320
 Saccharomyces cerevisiae_yjm326
 Saccharomyces cerevisiae_yjm428
 Saccharomyces cerevisiae_yjm450
 Saccharomyces cerevisiae_yjm451
 Saccharomyces cerevisiae_yjm453
 Saccharomyces cerevisiae_yjm456
 Saccharomyces cerevisiae_yjm470
 Saccharomyces cerevisiae_yjm541
 Saccharomyces cerevisiae_yjm554
 Saccharomyces cerevisiae_yjm555
 Saccharomyces cerevisiae_yjm627
 Saccharomyces cerevisiae_yjm681
 Saccharomyces cerevisiae_yjm682
 Saccharomyces cerevisiae_yjm683
 Saccharomyces cerevisiae_yjm689
 Saccharomyces cerevisiae_yjm693
 Saccharomyces cerevisiae_yjm789
 Saccharomyces cerevisiae_yjm969
 Saccharomyces cerevisiae_yjm972
 Saccharomyces cerevisiae_yjm975
 Saccharomyces cerevisiae_yjm978
 Saccharomyces cerevisiae_yjm981
 Saccharomyces cerevisiae_yjm984
 Saccharomyces cerevisiae_yjm987
 Saccharomyces cerevisiae_yjm990
 Saccharomyces cerevisiae_yjm993
 Saccharomyces cerevisiae_yjm996
 Saccharomyces eubayanus
 Saccharomyces kudriavzevii_ifo_1802
 Saccharomyces sp_boulardii_
 Saccharomyces sp_boulardii__gca_001413975
 Saccharomycetaceae sp_ashbya_aceri_
 Saitoella complicata_nrrl_y_17804
 Saitoella complicata_nrrl_y_17804_gca_001661265
 Scedosporium apiospermum
 Scheffersomyces stipitis_cbs_6054
 Schizophyllum commune_h4_8
 Schizopora paradoxa
 Schizosaccharomyces cryophilus
 Schizosaccharomyces japonicus
 Schizosaccharomyces octosporus
 Schizosaccharomyces pombe
 Scleroderma citrinum_foug_a
 Sclerotinia borealis_f_4128
 Sclerotinia sclerotiorum
 Sclerotinia sclerotiorum_1980_uf_70
 Serendipita indica_dsm_11827
 Serendipita vermifera_maff_305830
 Serpula lacrymans_var_lacrymans_s7_3
 Serpula lacrymans_var_lacrymans_s7_9
 Setosphaeria turcica_et28a
 Sistotremastrum niveocremeum_hhb9708
 Sistotremastrum suecicum_hhb10207_ss_3
 Sordaria macrospora
 Spathaspora passalidarum_nrrl_y_27907
 Sphaerobolus stellatus_ss14
 Sphaerulina musiva_so2202
 Spizellomyces punctatus_daom_br117
 Sporidiobolus salmonicolor
 Sporisorium reilianum
 Sporisorium scitamineum
 Sporothrix brasiliensis_5110
 Sporothrix insectorum_rcef_264
 Sporothrix schenckii_1099_18
 Sporothrix schenckii_atcc_58251
 Spraguea lophii_42_110
 Stachybotrys chartarum_ibt_40288
 Stachybotrys chartarum_ibt_40293
 Stachybotrys chartarum_ibt_7711
 Stachybotrys chlorohalonata_ibt_40285
 Stagonospora sp_src1lsm3a
 Stemphylium lycopersici
 Stereum hirsutum_fp_91666_ss1
 Sugiyamaella lignohabitans
 Suillus luteus_uh_slu_lm8_n1
 Talaromyces cellulolyticus
 Talaromyces islandicus
 Talaromyces marneffei_atcc_18224
 Talaromyces marneffei_pm1
 Talaromyces stipitatus_atcc_10500
 Termitomyces sp_j132
 Tetrapisispora blattae_cbs_6284
 Tetrapisispora phaffii_cbs_4417
 Thermothelomyces thermophila_atcc_42464
 Thielavia terrestris_nrrl_8126
 Thielaviopsis punctulata
 Tilletia caries
 Tilletia controversa
 Tilletia indica
 Tilletia walkeri
 Tilletiaria anomala_ubc_951
 Tolypocladium ophioglossoides_cbs_100239
 Torrubiella hemipterigena
 Tortispora caseinolytica_nrrl_y_17796
 Torulaspora delbrueckii
 Trachipleistophora hominis
 Trametes cinnabarina
 Trametes pubescens
 Trametes versicolor_fp_101664_ss1
 Tremella mesenterica_dsm_1558
 Trichoderma atroviride_imi_206040
 Trichoderma gamsii
 Trichoderma guizhouense
 Trichoderma harzianum
 Trichoderma reesei
 Trichoderma reesei_rut_c_30
 Trichoderma virens
 Trichophyton benhamiae_cbs_112371
 Trichophyton equinum_cbs_127_97
 Trichophyton interdigitale_h6
 Trichophyton interdigitale_mr816
 Trichophyton rubrum
 Trichophyton rubrum_cbs_100081
 Trichophyton rubrum_cbs_118892
 Trichophyton rubrum_cbs_202_88
 Trichophyton rubrum_cbs_288_86
 Trichophyton rubrum_cbs_289_86
 Trichophyton rubrum_cbs_735_88
 Trichophyton rubrum_d6
 Trichophyton rubrum_mr1448
 Trichophyton rubrum_mr1459
 Trichophyton rubrum_mr850
 Trichophyton soudanense_cbs_452_61
 Trichophyton tonsurans_cbs_112818
 Trichophyton verrucosum_hki_0517
 Trichophyton violaceum
 Trichosporon asahii_var_asahii_cbs_2479
 Trichosporon asahii_var_asahii_cbs_8904
 Tsuchiyaea wingfieldii_cbs_7118
 Tuber melanosporum
 Tulasnella calospora_mut_4182
 Umbilicaria pustulata
 Uncinocarpus reesii_1704
 Ustilaginoidea virens
 Ustilaginoidea virens_gca_000965225
 Ustilago bromivora
 Ustilago hordei
 Ustilago maydis
 Valsa mali
 Valsa mali_var_pyri
 Vanderwaltozyma polyspora_dsm_70294
 Vavraia culicis_subsp_floridensis
 Verruconis gallopava
 Verticillium alfalfae_vams_102
 Verticillium dahliae
 Verticillium dahliaejr2
 Verticillium longisporum
 Verticillium longisporum_gca_001268145
 Vittaforma corneae_atcc_50505
 Wallemia ichthyophaga_exf_994
 Wallemia mellicola_cbs_633_66
 Wickerhamomyces anomalus_nrrl_y_366_8
 Wickerhamomyces ciferrii
 Xanthophyllomyces dendrorhous
 Xylona heveae_tc161
 Yarrowia lipolytica
 Yarrowia lipolytica_gca_001761485
 Zygosaccharomyces bailii_isa1307
