#code	taxid	primary taxid	taxname
1	1280837	1280837	Meira miltonrushii
1	242475	242475	Melampsora allii-populina
1	203908	203908	Melampsora larici-populina
1	5261	5261	Melampsora lini
1	1155946	1155946	Melanconium sp. 1 NRRL 54901
1	100047	100047	Melanomma pulvis-pyrius
1	371115	371115	Melanops tulasnei
1	2038071	2038071	Melanospora tiffanyae
1	84746	84746	Melanotaenium endogenum
1	1095630	1095630	Meliniomyces bicolor E
2	313359	2482757	Hyaloscypha variabilis
1	1323573	1323573	Meredithblackwellia eburnea
1	655827	655827	Metarhizium acridum CQMa 102
1	655844	655844	Metarhizium robertsii ARSEF 23
1	869754	869754	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993
1	27322	27322	Metschnikowia bicuspidata
1	178747	178747	Metschnikowia fructicola
1	294746	294746	Meyerozyma guilliermondii ATCC 6260
1	36921	36921	Microascus trigonosporus
1	683840	683840	Microbotryum lychnidis-dioicae p1A1 Lamole
1	683840	683840	Microbotryum lychnidis-dioicae p1A1 Lamole
1	196109	196109	Microdochium bolleyi
1	1682393	1682393	Microdochium trichocladiopsis
1	554155	554155	Microsporum canis CBS 113480
1	703497	703497	Microthyrium microscopicum
1	34349	34349	Mixia osmundae
1	1391700	1391700	Moesziomyces aphidis DSM 70725
1	1284197	1284197	Dactylellina haptotyla CBS 200.50
1	1149898	1149898	Monascus purpureus NRRL 1596
1	1155947	1155947	Monascus ruber NRRL 1597
1	1954213	1954213	Moniliella sp. MCA 3643
1	554373	554373	Moniliophthora perniciosa FA553
1	1174673	1174673	Morchella importuna
1	1174673	1174673	Morchella importuna
1	1174678	1174678	Morchella snyderi
1	310910	310910	Mortierella elongata
1	310910	310910	Mortierella elongata
1	101098	101098	Gamsiella multidivaricata
1	1069443	1069443	Mortierella verticillata NRRL 6337
1	29902	29902	Mrakia frigida
1	36080	36080	Mucor circinelloides
1	101140	101140	Kirkomyces cordense
1	101122	101122	Mucor heterogamus
1	376703	376703	Multifurca ochricompacta
1	288524	288524	Mutinus elegans
1	1149848	1149848	Thermothelomyces heterothallica CBS 202.75
1	1149786	1149786	Thermothelomyces heterothallica
1	573729	573729	Thermothelomyces thermophila ATCC 42464
1	1033008	1033008	Mycena albidolilacea
1	1745969	1745969	Mycena alexandri
1	380012	380012	Mycena amicta
1	1033014	1033014	Mycena belliae
1	230804	230804	Mycena capillaripes
1	220801	220801	Mycena crocata
1	230806	230806	Mycena epipterygia
1	858877	858877	Mycena filopes
1	1033242	1033242	Mycena floridula
1	1314675	1314675	Mycena galopus ATCC 62051
1	230807	230807	Mycena haematopus
1	1045383	1045383	Mycena rebaudengoi
1	1033263	1033263	Mycena rosella
1	230812	230812	Mycena sanguinolenta
1	1940295	1940295	Mycena sp. CBHHK59/15
1	1033281	1033281	Mycena vitilis
1	1047171	1047171	Zymoseptoria tritici
1	64632	64632	Mycotypha africana
1	147570	147570	Myriangium duriaei
1	110576	110576	Myrothecium inundatum
1	574789	574789	Mytilinidion resinicola
1	857566	857566	Nadsonia fulvescens var. elongata DSM 6958
1	1397326	1397326	Classicula fluitans ATCC 64713
1	51660	51660	Nakaseomyces bacillisporus
1	51657	51657	Nakaseomyces delphensis
1	112072	112072	Naohidea sebacea
1	660122	660122	[Nectria] haematococca mpVI 77-13-4
1	881290	881290	Nematocida parisii ERTm1
1	1754190	1754190	Neocallimastix californiae
1	1287680	1287680	Neofusicoccum parvum UCRNP2
1	48691	48691	Neolecta irregularis
1	1314782	1314782	Neolentinus lepideus HHB14362 ss-1
1	78410	78410	Neonectria ditissima
1	331117	331117	Aspergillus fischeri NRRL 181
1	5141	5141	Neurospora crassa
1	367110	367110	Neurospora crassa OR74A
1	5141	5141	Neurospora crassa
1	510953	510953	Neurospora discreta FGSC 8579
1	588809	588809	Neurospora hispaniola
